Genus	Count
Pyrobaculum	2
Moorella	1
Anaerostipes	1
Klebsiella	1
Escherichia	1
Cronobacter	1
Campylobacter	1
Thermoproteus	1
Staphylothermus	1
Oxalobacter	1
Ignicoccus	1
Methanoculleus	1
Saccharopolyspora	1
Pyrococcus	1
Candidatus Korarchaeum	1
